Combination/145/165/185/250/280/Remaining Length
(145,)/68/0/0/0/0/-4855
(165,)/0/77/0/0/0/-4835
(185,)/0/0/87/0/0/-4815
(250,)/0/0/0/117/0/-4750
(280,)/0/0/0/0/131/-4720
(145, 145)/136/0/0/0/0/-4710
(145, 165)/68/77/0/0/0/-4690
(145, 185)/68/0/87/0/0/-4670
(165, 165)/0/155/0/0/0/-4670
(165, 185)/0/77/87/0/0/-4650
(185, 185)/0/0/174/0/0/-4630
(145, 250)/68/0/0/117/0/-4605
(165, 250)/0/77/0/117/0/-4585
(145, 280)/68/0/0/0/131/-4575
(185, 250)/0/0/87/117/0/-4565
(145, 145, 145)/204/0/0/0/0/-4565
(165, 280)/0/77/0/0/131/-4555
(145, 145, 165)/136/77/0/0/0/-4545
(185, 280)/0/0/87/0/131/-4535
(145, 145, 185)/136/0/87/0/0/-4525
(145, 165, 165)/68/155/0/0/0/-4525
(145, 165, 185)/68/77/87/0/0/-4505
(165, 165, 165)/0/232/0/0/0/-4505
(250, 250)/0/0/0/234/0/-4500
(145, 185, 185)/68/0/174/0/0/-4485
(165, 165, 185)/0/155/87/0/0/-4485
(250, 280)/0/0/0/117/131/-4470
(165, 185, 185)/0/77/174/0/0/-4465
(145, 145, 250)/136/0/0/117/0/-4460
(185, 185, 185)/0/0/260/0/0/-4445
(280, 280)/0/0/0/0/263/-4440
(145, 165, 250)/68/77/0/117/0/-4440
(145, 145, 280)/136/0/0/0/131/-4430
(145, 185, 250)/68/0/87/117/0/-4420
(165, 165, 250)/0/155/0/117/0/-4420
(145, 145, 145, 145)/272/0/0/0/0/-4420
(145, 165, 280)/68/77/0/0/131/-4410
(165, 185, 250)/0/77/87/117/0/-4400
(145, 145, 145, 165)/204/77/0/0/0/-4400
(145, 185, 280)/68/0/87/0/131/-4390
(165, 165, 280)/0/155/0/0/131/-4390
(185, 185, 250)/0/0/174/117/0/-4380
(145, 145, 145, 185)/204/0/87/0/0/-4380
(145, 145, 165, 165)/136/155/0/0/0/-4380
(165, 185, 280)/0/77/87/0/131/-4370
(145, 145, 165, 185)/136/77/87/0/0/-4360
(145, 165, 165, 165)/68/232/0/0/0/-4360
(145, 250, 250)/68/0/0/234/0/-4355
(185, 185, 280)/0/0/174/0/131/-4350
(145, 145, 185, 185)/136/0/174/0/0/-4340
(145, 165, 165, 185)/68/155/87/0/0/-4340
(165, 165, 165, 165)/0/310/0/0/0/-4340
(165, 250, 250)/0/77/0/234/0/-4335
(145, 250, 280)/68/0/0/117/131/-4325
(145, 165, 185, 185)/68/77/174/0/0/-4320
(165, 165, 165, 185)/0/232/87/0/0/-4320
(185, 250, 250)/0/0/87/234/0/-4315
(145, 145, 145, 250)/204/0/0/117/0/-4315
(165, 250, 280)/0/77/0/117/131/-4305
(145, 185, 185, 185)/68/0/260/0/0/-4300
(165, 165, 185, 185)/0/155/174/0/0/-4300
(145, 280, 280)/68/0/0/0/263/-4295
(145, 145, 165, 250)/136/77/0/117/0/-4295
(185, 250, 280)/0/0/87/117/131/-4285
(145, 145, 145, 280)/204/0/0/0/131/-4285
(165, 185, 185, 185)/0/77/260/0/0/-4280
(165, 280, 280)/0/77/0/0/263/-4275
(145, 145, 185, 250)/136/0/87/117/0/-4275
(145, 165, 165, 250)/68/155/0/117/0/-4275
(145, 145, 145, 145, 145)/340/0/0/0/0/-4275
(145, 145, 165, 280)/136/77/0/0/131/-4265
(185, 185, 185, 185)/0/0/347/0/0/-4260
(185, 280, 280)/0/0/87/0/263/-4255
(145, 165, 185, 250)/68/77/87/117/0/-4255
(165, 165, 165, 250)/0/232/0/117/0/-4255
(145, 145, 145, 145, 165)/272/77/0/0/0/-4255
(250, 250, 250)/0/0/0/352/0/-4250
(145, 145, 185, 280)/136/0/87/0/131/-4245
(145, 165, 165, 280)/68/155/0/0/131/-4245
(145, 185, 185, 250)/68/0/174/117/0/-4235
(165, 165, 185, 250)/0/155/87/117/0/-4235
(145, 145, 145, 145, 185)/272/0/87/0/0/-4235
(145, 145, 145, 165, 165)/204/155/0/0/0/-4235
(145, 165, 185, 280)/68/77/87/0/131/-4225
(165, 165, 165, 280)/0/232/0/0/131/-4225
(250, 250, 280)/0/0/0/234/131/-4220
(165, 185, 185, 250)/0/77/174/117/0/-4215
(145, 145, 145, 165, 185)/204/77/87/0/0/-4215
(145, 145, 165, 165, 165)/136/232/0/0/0/-4215
(145, 145, 250, 250)/136/0/0/234/0/-4210
(145, 185, 185, 280)/68/0/174/0/131/-4205
(165, 165, 185, 280)/0/155/87/0/131/-4205
(185, 185, 185, 250)/0/0/260/117/0/-4195
(145, 145, 145, 185, 185)/204/0/174/0/0/-4195
(145, 145, 165, 165, 185)/136/155/87/0/0/-4195
(145, 165, 165, 165, 165)/68/310/0/0/0/-4195
(250, 280, 280)/0/0/0/117/263/-4190
(145, 165, 250, 250)/68/77/0/234/0/-4190
(165, 185, 185, 280)/0/77/174/0/131/-4185
(145, 145, 250, 280)/136/0/0/117/131/-4180
